GEOID,NAMELSAD,tract_area_sq_mile,transit_stop_count,transit_stops_per_sq_mile,has_transit_access,large_tract_flag
06073007602,Census Tract 76.02,0.3215518259742126,5,15.54959293063067,1,0
06073013327,Census Tract 133.27,0.6163060712988684,14,22.715985858284544,1,0
06073017606,Census Tract 176.06,0.7699852437037653,11,14.285988062690725,1,0
06073017605,Census Tract 176.05,1.1357809324728552,7,6.163160341809399,1,0
06073010018,Census Tract 100.18,1.3200403071718905,1,0.7575526251485774,1,0
06073013321,Census Tract 133.21,0.7496030405698553,0,0.0,0,0
06073020038,Census Tract 200.38,2.8745247483182927,3,1.0436507814918328,1,0
06073005103,Census Tract 51.03,1.0182438271479686,23,22.587910072994433,1,0
06073020712,Census Tract 207.12,2.3441339573196274,6,2.5595806849112965,1,0
06073005401,Census Tract 54.01,0.10115100944385935,3,29.658626409112156,1,0
06073000301,Census Tract 3.01,0.15513348974914365,7,45.12242979461912,1,0
06073000302,Census Tract 3.02,0.19188299759497734,10,52.115091620091285,1,0
06073001801,Census Tract 18.01,0.1212159213494257,3,24.749224083789994,1,0
06073015002,Census Tract 150.02,0.5341448172869914,12,22.465817530440447,1,0
06073015001,Census Tract 150.01,0.6629581129834015,1,1.5083909230703345,1,0
06073014701,Census Tract 147.01,0.4300699433617467,3,6.97560954050815,1,0
06073014702,Census Tract 147.02,0.5462533114877035,7,12.814567624195673,1,0
06073010201,Census Tract 102.01,3.061587712493937,11,3.5929070250414337,1,0
06073020711,Census Tract 207.11,39.19423835093529,12,0.3061674497296015,1,1
06073010202,Census Tract 102.02,0.34348994401872956,8,23.2903470372448,1,0
06073009307,Census Tract 93.07,1.7865990750613312,35,19.590293361591772,1,0
06073021002,Census Tract 210.02,433.7608290738823,7,0.016137925628152312,1,1
06073009203,Census Tract 92.03,0.5896014705690552,0,0.0,0,0
06073009204,Census Tract 92.04,0.7935431406778761,6,7.5610255982737895,1,0
06073009308,Census Tract 93.08,0.35868498818449596,7,19.515731716096873,1,0
06073007401,Census Tract 74.01,0.22884053199088752,4,17.479420997672218,1,0
06073007303,Census Tract 73.03,0.13953232473151303,5,35.83399050808448,1,0
06073021401,Census Tract 214.01,1.0387275601712982,17,16.366177862072423,1,0
06073021501,Census Tract 215.01,0.7123547936220057,0,0.0,0,0
06073005601,Census Tract 56.01,0.08956265990895217,4,44.66146945687332,1,0
06073005403,Census Tract 54.03,0.19940968499515063,9,45.13321406740534,1,0
06073005402,Census Tract 54.02,0.3059028592884137,23,75.18726713932072,1,0
06073005301,Census Tract 53.01,0.15372555912848235,15,97.57648685774592,1,0
06073005802,Census Tract 58.02,0.18449496407414923,10,54.202021449111,1,0
06073005801,Census Tract 58.01,0.12758723570793407,1,7.837774636713244,1,0
06073005201,Census Tract 52.01,0.19520617432912438,7,35.85952147291078,1,0
06073004102,Census Tract 41.02,0.1467471147491417,4,27.257776119399956,1,0
06073000902,Census Tract 9.02,0.10469382702707355,7,66.86163070712678,1,0
06073004101,Census Tract 41.01,0.4381265565095941,9,20.542009760147735,1,0
06073005202,Census Tract 52.02,0.09032875911220409,22,243.55476833986128,1,0
06073001202,Census Tract 12.02,0.14182518761510599,2,14.101867472424745,1,0
06073000901,Census Tract 9.01,0.13534000874349175,6,44.332788624033014,1,0
06073019109,Census Tract 191.09,34.58516001870618,8,0.23131308328985656,1,1
06073017111,Census Tract 171.11,9.001853711870533,7,0.7776176134443581,1,0
06073017059,Census Tract 170.59,0.826689006274587,0,0.0,0,0
06073021402,Census Tract 214.02,0.3050422279742929,14,45.89528503306052,1,0
06073020042,Census Tract 200.42,1.4409865547069909,4,2.7758760044873263,1,0
06073017112,Census Tract 171.12,5.3675227757114286,0,0.0,0,0
06073020031,Census Tract 200.31,1.7268790852328708,4,2.316317357830874,1,0
06073017113,Census Tract 171.13,3.4738715470248716,3,0.8635897900627012,1,0
06073013323,Census Tract 133.23,0.7638488271276447,4,5.236638269173608,1,0
06073020043,Census Tract 200.43,1.3882262134495553,0,0.0,0,0
06073016618,Census Tract 166.18,0.41534080044572824,0,0.0,0,0
06073020110,Census Tract 201.10,18.337382448951747,11,0.5998675127500988,1,1
06073001802,Census Tract 18.02,0.1684375111894645,10,59.36919828239236,1,0
06073005302,Census Tract 53.02,0.1827096823247985,24,131.35592867670687,1,0
06073001302,Census Tract 13.02,0.1697932556402055,3,17.668546307616868,1,0
06073001201,Census Tract 12.01,0.12296925438337275,5,40.66057019758651,1,0
06073021305,Census Tract 213.05,15.104456557882102,6,0.39723375528323546,1,1
06073021101,Census Tract 211.01,234.7082103718494,37,0.15764254663857186,1,1
06073013322,Census Tract 133.22,0.5828357528813521,4,6.862996959649934,1,0
06073015706,Census Tract 157.06,0.10491656927859795,3,28.594148861594288,1,0
06073015705,Census Tract 157.05,0.15950412731788352,3,18.808290734829416,1,0
06073015408,Census Tract 154.08,1.0716444016058113,7,6.5320175139354175,1,0
06073013425,Census Tract 134.25,1.1443741441220658,0,0.0,0,0
06073021001,Census Tract 210.01,631.5057783371462,12,0.019002201423394545,1,1
06073013423,Census Tract 134.23,6.00038038275071,1,0.1666561011489704,1,0
06073013320,Census Tract 133.20,3.0868073478449745,0,0.0,0,0
