GEOID,NAMELSAD,school_count,elementary_school_count,middle_school_count,high_school_count,other_school_count,charter_school_count,tract_area_sq_mile,schools_per_sq_mile,district_name,district_type,district_grade_low,district_grade_high,district_overlap_pct,ela_students_tested,ela_current_status,ela_status_level,ela_change,ela_change_level,math_students_tested,math_current_status,math_status_level,math_change,math_change_level,academic_strength_score,academic_strength_tier
06073020033,Census Tract 200.33,1,1,0,0,0,0,0.6353556403723094,1.5739216534129046,San Marcos Unified,Unified,KG,12,1.0,9524,14.0,4,3.6,4,9545,-18.1,3,1.4,3,3.5,medium_high
06073020030,Census Tract 200.30,1,1,0,0,0,0,2.2916390357416847,0.4363688977205574,Carlsbad Unified,Unified,PK,12,0.673520286630512,5352,48.2,5,-2.1,3,5365,20.6,4,0.3,3,4.5,high
06073008377,Census Tract 83.77,0,0,0,0,0,0,0.13349296655665321,0.0,San Diego Unified,Unified,PK,12,0.9999999999999997,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008379,Census Tract 83.79,0,0,0,0,0,0,0.09764184920360973,0.0,San Diego Unified,Unified,PK,12,1.0,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073018202,Census Tract 182.02,0,0,0,0,0,0,0.23751492037469538,0.0,Oceanside Unified,Unified,PK,12,0.9999999999999992,7087,-25.4,2,4.4,4,7087,-56.3,2,5.1,4,2.0,lower
06073018616,Census Tract 186.16,3,1,1,1,0,0,1.4780007086035258,2.0297689862642354,Oceanside Unified,Unified,PK,12,1.0000000000000007,7087,-25.4,2,4.4,4,7087,-56.3,2,5.1,4,2.0,lower
06073018102,Census Tract 181.02,0,0,0,0,0,0,0.6056512040503387,0.0,Oceanside Unified,Unified,PK,12,0.8118662773237719,7087,-25.4,2,4.4,4,7087,-56.3,2,5.1,4,2.0,lower
06073005102,Census Tract 51.02,1,0,0,1,0,1,0.08766024268375718,11.407680031272523,San Diego Unified,Unified,PK,12,1.0,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073005101,Census Tract 51.01,0,0,0,0,0,0,0.08749670328496412,0.0,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073017901,Census Tract 179.01,0,0,0,0,0,0,0.6248059132671845,0.0,Carlsbad Unified,Unified,PK,12,1.0,5352,48.2,5,-2.1,3,5365,20.6,4,0.3,3,4.5,high
06073022102,Census Tract 221.02,2,1,1,0,0,0,2.3698395319579615,0.8439389979909736,Carlsbad Unified,Unified,PK,12,0.9999999999999991,5352,48.2,5,-2.1,3,5365,20.6,4,0.3,3,4.5,high
06073017070,Census Tract 170.70,2,1,1,0,0,0,1.0108236283818823,1.9785845362574108,Poway Unified,Unified,PK,12,1.0000000000000007,17379,56.5,5,0.8,3,17419,39.8,5,2.6,3,5.0,high
06073008380,Census Tract 83.80,0,0,0,0,0,0,0.9409582724904443,0.0,San Diego Unified,Unified,PK,12,0.9519129808276929,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
